시도,시군구,어린이집명,어린이집유형구분,운영현황,우편번호,주소,어린이집전화번호,어린이집팩스번호,보육실수,보육실면적,놀이터수,CCTV설치수,보육교직원수,정원수,현원수,위도,경도,통학차량운영여부,홈페이지주소,인가일자,휴지시작일자,휴지종료일자,폐지일자
대전광역시,서구,대전서부경찰서어린이집,직장,정상,35403,대전광역시 서구 복수서로 47 대전서부경찰서,042-587-1112,--,6,253,2,25,5,80,4,36.308635652225846,127.37297945183218,미운영,,2026-04-21,,,
대전광역시,유성구,햇살어린이집,가정,정상,34215,"대전광역시 유성구 동서대로 383 105동 101호(학하동, 한화포레나 유성)",042-822-3739,--,3,80,0,0,0,20,0,37.566470,126.977963,,,2026-04-07,,,
대전광역시,유성구,아람어린이집,가정,정상,34215,"대전광역시 유성구 동서대로 383 106동 102호(학하동, 한화포레나 유성)",042-362-4456,0504-158-4456,3,56,0,4,6,20,3,36.33355480205862,127.30314059614044,미운영,,2026-03-27,,,
대전광역시,유성구,엘리프숲어린이집,가정,정상,34192,"대전광역시 유성구 원신흥로 122-12 205동 101호(원신흥동, 갑천2BL트리풀시티엘리프)",042-825-7242,042-825-7242,4,80,0,5,4,20,9,36.338026922784366,127.35088966869134,미운영,,2026-03-17,,,
대전광역시,중구,버드내마을어린이집,국공립,정상,34890,"대전광역시 중구 태평로 15 관리동 2층(태평동, 버드내마을아파트)",042-538-1212,042-538-1212,3,102,0,5,8,31,20,36.317792211047454,127.38975169757637,미운영,,2026-03-01,,,
대전광역시,중구,더샵어린이집,국공립,정상,34817,"대전광역시 중구 목동로22번길 16 관리동(목동, 더샵아파트)",042-221-5533,--,4,82,0,8,9,23,21,36.33348049347555,127.40998532472913,운영,,2026-03-01,,,
대전광역시,중구,예가윤슬어린이집,국공립,정상,34896,"대전광역시 중구 평촌로 93 관리동(태평동, 쌍용예가아파트)",042-524-0079,042-524-0079,4,95,0,7,8,31,11,36.32342784849818,127.39697394452806,미운영,,2026-03-01,,,
대전광역시,대덕구,샘사랑어린이집,국공립,정상,34400,"대전광역시 대덕구 동춘당로114번길 47 203동 103호(송촌동,선비마을2단지아파트)",042-633-3006,0504-403-5716,4,85,0,6,10,20,20,36.27478994222397,127.56905763194531,운영,,2026-03-01,,,
대전광역시,대덕구,늘사랑어린이집,국공립,정상,34419,"대전광역시 대덕구 비래서로10번길 21 104동 104호(비래동,한신휴플러스아파트)",042-626-5353,--,4,87,0,8,6,20,11,37.566470,126.977963,운영,,2026-03-01,,,
대전광역시,유성구,도안아이자람어린이집,가정,정상,34192,"대전광역시 유성구 도안동로 422 115동, 102호(원신흥동, 갑천1BL트리풀시티힐스테이트)",042-861-1486,070-8255-1486,3,67,0,4,8,20,13,36.34247641701597,127.34860380589107,미운영,,2026-02-24,,,
대전광역시,유성구,트리풀시티엘리프 어린이집,국공립,정상,34192,대전광역시 유성구 원신흥로 122-12 ,042-822-1100,--,4,138,0,18,13,52,40,36.337796253319524,127.350418029364,미운영,,2026-02-09,,,
대전광역시,중구,예원어린이집,국공립,정상,34896,"대전광역시 중구 평촌로 93 101동 102호(태평1동, 쌍용예가아파트)",042-252-1114,--,4,62,1,4,9,20,20,36.32268927356993,127.39685605058074,미운영,,2026-01-01,,,
대전광역시,중구,센트럴파크어린이집,국공립,정상,34962,"대전광역시 중구 서문로 96 207동 103호(문화1동, 센트럴파크아파트)",042-222-1928,--,4,81,1,6,10,20,20,36.317340004588296,127.40911432913822,미운영,,2026-01-01,,,
대전광역시,서구,사랑별어린이집,민간,정상,35308,대전광역시 서구 탄방로 111 둔산더샵엘리프 3단지 관리동,042-528-2235,--,4,106,0,10,13,40,34,36.33983771588097,127.39782300066105,미운영,,2025-11-18,,,
대전광역시,서구,예나어린이집,국공립,정상,35356,대전광역시 서구 도안동로 123 도안리슈빌아파트 관리동,042-545-2223,042-545-2223,4,118,0,8,14,44,38,36.31546183265301,127.3476538989418,미운영,,2025-11-01,,,
대전광역시,서구,미키미니어린이집,국공립,정상,35386,대전광역시 서구 가수원로 72 104동 103호,042-542-3575,042-542-3575,3,56,0,8,9,19,14,36.30162401293562,127.35079611935888,운영,,2025-11-01,,,
대전광역시,서구,둔산자이아이파크샘누리어린이집,국공립,정상,35267,대전광역시 서구 계룡로 520 둔산자이아이파크 관리동,042-521-1004,--,5,151,0,16,19,48,48,37.566470,126.977963,미운영,,2025-10-15,,,
대전광역시,중구,한신더휴리저브어린이집,민간,정상,34830,"대전광역시 중구 대종로582번길 36 (선화동, 한신더휴리저브아파트)",042-710-2025,--,3,85,2,13,10,32,30,36.33526593046567,127.42164661654292,미운영,,2025-09-24,,,
대전광역시,대덕구,송촌엘리프어린이집,국공립,정상,34423,"대전광역시 대덕구 계족산로52번길 50 104동 보육시설(송촌동, 엘리프 송촌 더 파크 아파트)",042-625-4662,--,5,116,3,12,17,41,38,37.56508510042367,126.9776793388616,미운영,,2025-09-01,,,
대전광역시,동구,꿈에그린어린이집,국공립,정상,34526,대전광역시 동구 대학로50번길 53 한화꿈에그린아파트 관리동 1층(용운동),042-320-4560,--,5,145,0,8,9,35,15,36.331003945187966,127.45585775623984,운영,,2025-07-01,,,
